Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetName
Sergey Fedosienko,M,SBD,Raw,31.5,24-34,24-39,Open,58.2,59,200.0,215.0,225.5,,225.5,150.0,160.0,165.0,,165.0,230.0,255.0,270.5,,270.5,661.0,1,579.9,579.9,567.26,870.42,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Dariusz Wszoła,M,SBD,Raw,35.5,35-39,24-39,Open,58.3,59,200.0,210.0,215.0,,215.0,142.5,150.0,152.5,,152.5,197.5,205.0,-210.0,,205.0,572.5,2,501.45,501.45,490.47,741.4,Yes,Poland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Franklin León,M,SBD,Raw,30.5,24-34,24-39,Open,58.45,59,180.0,192.5,200.0,,200.0,130.0,140.0,-145.0,,140.0,210.0,220.0,-235.0,,220.0,560.0,3,489.31,489.31,478.53,721.77,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Takaharu Ebihara,M,SBD,Raw,33.5,24-34,24-39,Open,58.7,59,165.0,180.0,185.0,,185.0,130.0,140.0,-142.5,,140.0,200.0,210.0,215.0,,215.0,540.0,4,469.96,469.96,459.49,690.42,Yes,Japan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mohamed Lakehal,M,SBD,Raw,31.0,24-34,24-39,Open,58.5,59,195.0,210.0,-215.0,,210.0,105.0,110.0,-112.5,,110.0,200.0,215.0,-220.0,,215.0,535.0,5,467.1,467.1,456.78,685.25,Yes,Algeria,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Walter Gómez,M,SBD,Raw,24.5,24-34,24-39,Open,57.95,59,155.0,162.5,167.5,,167.5,112.5,120.0,125.0,,125.0,195.0,205.0,-210.0,,205.0,497.5,6,438.23,438.23,428.79,636.47,Yes,Ecuador,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Eric Kupperstein,M,SBD,Raw,48.0,45-49,40-49,Open,58.55,59,-172.5,-172.5,172.5,,172.5,70.0,75.0,-80.0,,75.0,225.0,235.0,-252.5,,235.0,482.5,7,420.92,461.75,411.61,609.2,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Stuart Jamieson,M,SBD,Raw,24.5,24-34,24-39,Open,57.75,59,140.0,155.0,-162.5,,155.0,75.0,80.0,-85.0,,80.0,215.0,225.0,-235.0,,225.0,460.0,8,406.53,406.53,397.85,583.86,Yes,UK,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Mikhail Andryukhin,M,SBD,Raw,43.5,40-44,40-49,Open,65.9,66,230.0,240.0,-242.5,,240.0,132.5,137.5,-140.0,,137.5,252.5,265.0,-270.0,,265.0,642.5,1,505.12,520.78,490.86,762.76,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Tsung-Ting Hsieh,M,SBD,Raw,31.5,24-34,24-39,Open,63.4,66,200.0,210.0,-215.0,,210.0,155.0,160.0,165.0,,165.0,250.0,260.0,265.0,,265.0,640.0,2,519.81,519.81,506.1,783.0,Yes,Taiwan,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Antti Savolainen,M,SBD,Raw,35.5,35-39,24-39,Open,65.5,66,200.0,207.5,210.0,,210.0,150.0,155.0,-157.5,,155.0,255.0,265.0,-277.5,,265.0,630.0,3,497.79,497.79,483.88,749.84,Yes,Finland,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Sergey Skochek,M,SBD,Raw,30.5,24-34,24-39,Open,65.75,66,195.0,205.0,210.0,,210.0,157.5,167.5,-172.5,,167.5,230.0,-250.0,-255.0,,230.0,607.5,4,478.5,478.5,465.05,717.87,Yes,Russia,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
Shawn Frasquillo,M,SBD,Raw,28.0,24-34,24-39,Open,65.05,66,182.5,192.5,197.5,,197.5,140.0,150.0,155.0,,155.0,227.5,240.0,-250.0,,240.0,592.5,5,470.85,470.85,457.85,703.98,Yes,USA,IPF,IPF,2014-06-01,South Africa,,World Classic Powerlifting Championships
